"ID","Technique","Resolution","Source","Evalue","Identity"
"5ARA","EM",7.4,"Bos taurus",1.18e-10,32.374
"6ZBB","EM",3.61,"Bos taurus",1.27e-10,32.374
"8H9F","EM",2.69,"Homo sapiens",1.59e-09,32.051
